"","Category","RGS","AC","PValue"
"3","Stress response",7,810,7.86642807247441e-07
"2","Proteolysis general",1,395,0.181186134941367
"4","Unknown",5,8160,0.395810792262679
"1","Metabolism",1,1577,0.542569433364856
